Echantillon	% C 	% N 
109	38.467	6.456
110	36.089	6.214
111	37.468	6.417
112	37.623	6.589
113	38.400	6.478
114	38.015	6.591
115	37.282	6.298
116	38.240	6.651
117	37.868	6.570
118	37.978	6.719
119	38.485	6.569
120	37.316	6.320
121	37.413	6.473
122	37.928	6.492
123	37.816	6.620
125	38.115	6.672
127	37.951	6.377
129	37.367	6.486
130	36.687	6.291
131	38.184	6.364
132	37.484	6.564
133	35.970	6.659
134	37.431	6.492
136	37.345	6.426
137	37.549	6.192
138	37.277	6.327
139	36.672	6.276
140	36.772	6.390
143	37.358	6.167
145	36.763	6.805
146	36.903	6.555
147	35.360	6.144
148	36.948	6.755
149	36.566	7.010
150	36.754	6.752
151	36.657	6.771
152	36.582	6.921
153	36.231	6.800
154	36.577	6.724
155	36.537	6.759
156	36.505	6.929
157	36.501	6.675
159	36.535	6.786
161	36.338	6.861
163	35.907	6.583
164	35.640	6.425
165	35.315	6.469
166	35.274	6.535
167	37.137	6.712
168	35.986	6.643
169	36.174	6.881
170	36.107	6.930
172	35.878	6.807
173	36.538	6.881
175	36.484	6.712
179	36.644	6.717
