Tube	CO2	Bassine	GenotypeNum	Genotype
1	A	A	6	WOX11
2	A	A	5	BHLH
3	A	A	5	BHLH
4	A	A	4	WRKY59
5	A	A	2	MYB85
6	A	A	1	COL
7	A	A	3	MYB15
8	A	A	4	WRKY59
9	A	A	6	WOX11
10	A	A	2	MYB85
11	A	A	1	COL
12	A	A	3	MYB15
13	A	B	4	WRKY59
14	A	B	2	MYB85
15	A	B	3	MYB15
16	A	B	5	BHLH
17	A	B	3	MYB15
18	A	B	1	COL
19	A	B	6	WOX11
20	A	B	1	COL
21	A	B	6	WOX11
22	A	B	4	WRKY59
23	A	B	2	MYB85
24	A	B	5	BHLH
25	A	C	4	WRKY59
26	A	C	6	WOX11
27	A	C	2	MYB85
28	A	C	5	BHLH
29	A	C	6	WOX11
30	A	C	4	WRKY59
31	A	C	2	MYB85
32	A	C	1	COL
33	A	C	3	MYB15
34	A	C	3	MYB15
35	A	C	1	COL
36	A	C	5	BHLH
37	A	D	5	BHLH
38	A	D	2	MYB85
39	A	D	6	WOX11
40	A	D	3	MYB15
41	A	D	2	MYB85
42	A	D	5	BHLH
43	A	D	1	COL
44	A	D	3	MYB15
45	A	D	4	WRKY59
46	A	D	6	WOX11
47	A	D	1	COL
48	A	D	4	WRKY59
49	A	E	6	WOX11
50	A	E	5	BHLH
51	A	E	1	COL
52	A	E	5	BHLH
53	A	E	1	COL
54	A	E	6	WOX11
55	A	E	2	MYB85
56	A	E	2	MYB85
57	A	E	3	MYB15
58	A	E	4	WRKY59
59	A	E	4	WRKY59
60	A	E	3	MYB15
61	A	F	6	WOX11
62	A	F	5	BHLH
63	A	F	3	MYB15
64	A	F	6	WOX11
65	A	F	3	MYB15
66	A	F	1	COL
67	A	F	5	BHLH
68	A	F	4	WRKY59
69	A	F	1	COL
70	A	F	2	MYB85
71	A	F	2	MYB85
72	A	F	4	WRKY59
73	A	G	5	BHLH
74	A	G	1	COL
75	A	G	3	MYB15
76	A	G	1	COL
77	A	G	6	WOX11
78	A	G	2	MYB85
79	A	G	4	WRKY59
80	A	G	3	MYB15
81	A	G	6	WOX11
82	A	G	4	WRKY59
83	A	G	5	BHLH
84	A	G	2	MYB85
85	A	H	3	MYB15
86	A	H	6	WOX11
87	A	H	3	MYB15
88	A	H	1	COL
89	A	H	4	WRKY59
90	A	H	2	MYB85
91	A	H	4	WRKY59
92	A	H	5	BHLH
93	A	H	6	WOX11
94	A	H	1	COL
95	A	H	5	BHLH
96	A	H	2	MYB85
97	A	I	6	WOX11
98	A	I	5	BHLH
99	A	I	1	COL
100	A	I	6	WOX11
101	A	I	3	MYB15
102	A	I	3	MYB15
103	A	I	5	BHLH
104	A	I	2	MYB85
105	A	I	4	WRKY59
106	A	I	2	MYB85
107	A	I	1	COL
108	A	I	4	WRKY59
109	A	J	5	BHLH
110	A	J	5	BHLH
111	A	J	3	MYB15
112	A	J	6	WOX11
113	A	J	4	WRKY59
114	A	J	4	WRKY59
115	A	J	1	COL
116	A	J	1	COL
117	A	J	3	MYB15
118	A	J	6	WOX11
119	A	J	2	MYB85
120	A	J	2	MYB85
121	E	K	6	WOX11
122	E	K	5	BHLH
123	E	K	5	BHLH
124	E	K	4	WRKY59
125	E	K	2	MYB85
126	E	K	1	COL
127	E	K	3	MYB15
128	E	K	4	WRKY59
129	E	K	6	WOX11
130	E	K	2	MYB85
131	E	K	1	COL
132	E	K	3	MYB15
133	E	L	4	WRKY59
134	E	L	2	MYB85
135	E	L	3	MYB15
136	E	L	5	BHLH
137	E	L	3	MYB15
138	E	L	1	COL
139	E	L	6	WOX11
140	E	L	1	COL
141	E	L	6	WOX11
142	E	L	4	WRKY59
143	E	L	2	MYB85
144	E	L	5	BHLH
145	E	M	4	WRKY59
146	E	M	6	WOX11
147	E	M	2	MYB85
148	E	M	5	BHLH
149	E	M	6	WOX11
150	E	M	4	WRKY59
151	E	M	2	MYB85
152	E	M	1	COL
153	E	M	3	MYB15
154	E	M	3	MYB15
155	E	M	1	COL
156	E	M	5	BHLH
157	E	N	5	BHLH
158	E	N	2	MYB85
159	E	N	6	WOX11
160	E	N	3	MYB15
161	E	N	2	MYB85
162	E	N	5	BHLH
163	E	N	1	COL
164	E	N	3	MYB15
165	E	N	4	WRKY59
166	E	N	6	WOX11
167	E	N	1	COL
168	E	N	4	WRKY59
169	E	O	6	WOX11
170	E	O	5	BHLH
171	E	O	1	COL
172	E	O	5	BHLH
173	E	O	1	COL
174	E	O	6	WOX11
175	E	O	2	MYB85
176	E	O	2	MYB85
177	E	O	3	MYB15
178	E	O	4	WRKY59
179	E	O	4	WRKY59
180	E	O	3	MYB15
181	E	P	6	WOX11
182	E	P	5	BHLH
183	E	P	3	MYB15
184	E	P	6	WOX11
185	E	P	3	MYB15
186	E	P	1	COL
187	E	P	5	BHLH
188	E	P	4	WRKY59
189	E	P	1	COL
190	E	P	2	MYB85
191	E	P	2	MYB85
192	E	P	4	WRKY59
193	E	Q	5	BHLH
194	E	Q	1	COL
195	E	Q	3	MYB15
196	E	Q	1	COL
197	E	Q	6	WOX11
198	E	Q	2	MYB85
199	E	Q	4	WRKY59
200	E	Q	3	MYB15
201	E	Q	6	WOX11
202	E	Q	4	WRKY59
203	E	Q	5	BHLH
204	E	Q	2	MYB85
205	E	R	3	MYB15
206	E	R	6	WOX11
207	E	R	3	MYB15
208	E	R	1	COL
209	E	R	4	WRKY59
210	E	R	2	MYB85
211	E	R	4	WRKY59
212	E	R	5	BHLH
213	E	R	6	WOX11
214	E	R	1	COL
215	E	R	5	BHLH
216	E	R	2	MYB85
217	E	S	6	WOX11
218	E	S	5	BHLH
219	E	S	1	COL
220	E	S	6	WOX11
221	E	S	3	MYB15
222	E	S	3	MYB15
223	E	S	5	BHLH
224	E	S	2	MYB85
225	E	S	4	WRKY59
226	E	S	2	MYB85
227	E	S	1	COL
228	E	S	4	WRKY59
229	E	T	5	BHLH
230	E	T	5	BHLH
231	E	T	3	MYB15
232	E	T	6	WOX11
233	E	T	4	WRKY59
234	E	T	4	WRKY59
235	E	T	1	COL
236	E	T	1	COL
237	E	T	3	MYB15
238	E	T	6	WOX11
239	E	T	2	MYB85
240	E	T	2	MYB85
